year,country,Debt_to_GDP,Deficit_to_GDP,Debt_Growth,GDP,Debt,Deficit,cluster
2002,EA20,68.14039834253987,-2.757308798040169,3.3288323766569983,7648497.7,5211716.8,-210892.7,1
2003,EA20,69.41895217961515,-3.1546169033605356,4.90104911302931,7875580.7,5467145.6,-248444.4,1
2004,EA20,69.72081880638046,-2.897180535030795,4.749675955218757,8213927.2,5726817.3,-237972.3,1
2005,EA20,70.3471505571854,-2.6547062775446193,4.655226210900776,8519767.4,5993413.6,-226174.8,1
2006,EA20,68.30287327842359,-1.5869477464620274,2.353331663945246,8981259.8,6134458.5,-142527.9,0
2007,EA20,65.93099860696621,-0.7436953270524106,1.894178597833851,9480602.8,6250656.1,-70506.8,0
2008,EA20,69.58104366146236,-2.259612964439324,8.200745518538444,9719969.9,6763256.5,-219633.7,1
2009,EA20,80.03119207860374,-6.256673208933268,11.011776649310878,9381356.2,7508011.2,-586960.8,1
2010,EA20,85.44078320908973,-6.322524846562332,9.760250490835709,9645056.6,8240811.9,-609811.1,1
2011,EA20,87.26657281011143,-4.243185513122765,5.0570454107804474,9920813.0,8657553.5,-420958.5,1
2012,EA20,90.77161482194705,-3.8675508074044918,4.335612826417989,9951251.3,9032911.5,-384869.7,1
2013,EA20,92.76285868863128,-3.211751956208197,3.2806576262814025,10057096.7,9329250.4,-323009.0,1
2014,EA20,92.94166139202648,-2.5280538613007337,2.596041371126656,10298332.8,9571441.6,-260347.4,1
2015,EA20,91.01394735889606,-2.009086665954523,1.3812109557247876,10661710.3,9703643.4,-214203.0,1
2016,EA20,89.93905705920403,-1.472890757071008,1.5136510478115817,10952441.6,9850522.7,-161317.5,1
2017,EA20,87.48040352754536,-1.0034486413690065,0.9589734766054736,11368245.0,9944986.6,-114074.5,1
2018,EA20,85.54027451192509,-0.4470820860212187,1.040530311021226,11747059.8,10048467.2,-52519.0,1
2019,EA20,83.59237655731631,-0.5373745742902343,0.9940302138817803,12140284.1,10148352.0,-65238.8,1
2020,EA20,96.51699401296644,-6.991887930326915,10.473340893181483,11615802.6,11211223.5,-812163.9,1
2021,EA20,93.81591120822131,-5.100859915852819,5.593722219524033,12618699.8,11838348.2,-643662.2,1
2022,EA20,89.3082804201386,-3.392770028140069,3.789542193056983,13757926.3,12286967.4,-466774.8,1
2023,EA20,86.95317928335193,-3.501729968075279,3.7726501984533645,14663652.1,12750511.7,-513481.5,1
2024,EA20,87.07952816547777,-3.0635543636105735,4.022153087393354,15231314.5,13263356.8,-466619.6,1
1996,EE,7.339522546419098,-0.34748010610079577,17.146486028789166,3770.0,276.7,-13.1,0
